CONTENT,CLASS,content_lowercase,content_lowercase_rn,content_tokenization,content_stopword,content_steem,content_clean
Like this comment for no reason﻿,1,like this comment for no reason﻿,like this comment for no reason,"['like', 'this', 'comment', 'for', 'no', 'reason']","['like', 'comment', 'reason']","['like', 'comment', 'reason']","['like', 'comment', 'reason']"
Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.﻿,1,omg can this be the first video on youtube to hit 1 billion views like this comment of you agree.﻿,omg can this be the first video on youtube to hit NUM billion views like this comment of you agree,"['omg', 'can', 'this', 'be', 'the', 'first', 'video', 'on', 'youtube', 'to', 'hit', 'NUM', 'billion', 'views', 'like', 'this', 'comment', 'of', 'you', 'agree']","['omg', 'first', 'video', 'youtube', 'hit', 'NUM', 'billion', 'views', 'like', 'comment', 'agree']","['omg', 'first', 'video', 'youtub', 'hit', 'num', 'billion', 'view', 'like', 'comment', 'agre']","['omg', 'first', 'video', 'youtub', 'hit', 'num', 'billion', 'view', 'like', 'comment', 'agre']"
 <br />Please help me get 100 subscribers by the end of the night. Thx﻿,1, <br />please help me get 100 subscribers by the end of the night. thx﻿,please help me get NUM subscribers by the end of the night thx,"['please', 'help', 'me', 'get', 'NUM', 'subscribers', 'by', 'the', 'end', 'of', 'the', 'night', 'thx']","['please', 'help', 'get', 'NUM', 'subscribers', 'end', 'night', 'thx']","['pleas', 'help', 'get', 'num', 'subscrib', 'end', 'night', 'thx']","['pleas', 'help', 'get', 'num', 'subscrib', 'end', 'night', 'thx']"
like this comment if you&#39;re watching this video when big bang happened<br />i do﻿,1,like this comment if you&#39;re watching this video when big bang happened<br />i do﻿,like this comment if you re watching this video when big bang happened i do,"['like', 'this', 'comment', 'if', 'you', 're', 'watching', 'this', 'video', 'when', 'big', 'bang', 'happened', 'i', 'do']","['like', 'comment', 'watching', 'video', 'big', 'bang', 'happened']","['like', 'comment', 'watch', 'video', 'big', 'bang', 'happen']","['like', 'comment', 'watch', 'video', 'big', 'bang', 'happen']"
Check out this playlist on YouTube:<br /><br />﻿,1,check out this playlist on youtube:<br /><br />﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Check out this playlist on YouTube:🍴🍴🏄🏄🏄🍴🏄🏄🏄🏄🏊🏊🏊🏊🍴🍴🍴🍴🍴🏂🏂🏂🏂🏂🏆🍸🍸🍸🍸🏆🍻🍗🍵🍟🍟🍟🍟🍴🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕☕️🎣🎣☕️🍕🍕🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣☕️🎣🍕🍔🍔🎣🎣☕️🎣🍹🍹🏂🏂🍹🎿🏆﻿,1,check out this playlist on youtube:🍴🍴🏄🏄🏄🍴🏄🏄🏄🏄🏊🏊🏊🏊🍴🍴🍴🍴🍴🏂🏂🏂🏂🏂🏆🍸🍸🍸🍸🏆🍻🍗🍵🍟🍟🍟🍟🍴🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕☕️🎣🎣☕️🍕🍕🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣☕️🎣🍕🍔🍔🎣🎣☕️🎣🍹🍹🏂🏂🍹🎿🏆﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
░░░░░░░/\░░░░░▄▐<br />░░░░░░/     \░░░▄██▄<br />░░░░░/  (o)   \░░░░░▀█▄<br />░░░░/             \░░░░░░▀█▄<br />░░░/__   \   ░▄▄▄▄▄▀▀<br />░░░░▄▄▄██▀▀▀▀<br />░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI<br />░░░▌░▄▄▄▐▌▀▀▀<br />▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED <br />▀█▌░░░▄░▀█▀░▀ <br />░░░░░░░▄▄▐▌▄▄<br />░░░░░░░▀███▀█░▄<br />░░░░░░▐▌▀▄▀▄▀▐▄<br />░░░░░░▐▀░░░░░░▐▌<br />░░░░░░█░░░░░░░░█<br />░░░░░▐▌░░░░░░░░░█<br />░░░░░█░░░░░░░░░░▐▌﻿,1,░░░░░░░/\░░░░░▄▐<br />░░░░░░/     \░░░▄██▄<br />░░░░░/  (o)   \░░░░░▀█▄<br />░░░░/             \░░░░░░▀█▄<br />░░░/__   \   ░▄▄▄▄▄▀▀<br />░░░░▄▄▄██▀▀▀▀<br />░░░█▀▄▄▄█░▀▀       you have been spooked by the spookinati<br />░░░▌░▄▄▄▐▌▀▀▀<br />▄░▐░░░▄▄░█░▀▀    share this to 666 people to be unspooked <br />▀█▌░░░▄░▀█▀░▀ <br />░░░░░░░▄▄▐▌▄▄<br />░░░░░░░▀███▀█░▄<br />░░░░░░▐▌▀▄▀▄▀▐▄<br />░░░░░░▐▀░░░░░░▐▌<br />░░░░░░█░░░░░░░░█<br />░░░░░▐▌░░░░░░░░░█<br />░░░░░█░░░░░░░░░░▐▌﻿,o you have been spooked by the spookinati share this to NUM people to be unspooked,"['o', 'you', 'have', 'been', 'spooked', 'by', 'the', 'spookinati', 'share', 'this', 'to', 'NUM', 'people', 'to', 'be', 'unspooked']","['spooked', 'spookinati', 'share', 'NUM', 'people', 'unspooked']","['spook', 'spookinati', 'share', 'num', 'peopl', 'unspook']","['spook', 'spookinati', 'share', 'num', 'peopl', 'unspook']"
like this comment if your watching in 2015 or 2016﻿,1,like this comment if your watching in 2015 or 2016﻿,like this comment if your watching in NUM or NUM,"['like', 'this', 'comment', 'if', 'your', 'watching', 'in', 'NUM', 'or', 'NUM']","['like', 'comment', 'watching', 'NUM', 'NUM']","['like', 'comment', 'watch', 'num', 'num']","['like', 'comment', 'watch', 'num', 'num']"
Help me get 10000000 subscribers by tomorrow!<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />(Joking don&#39;t get butt hurt)  ﻿,1,help me get 10000000 subscribers by tomorrow!<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />(joking don&#39;t get butt hurt)  ﻿,help me get NUM subscribers by tomorrow joking don t get butt hurt,"['help', 'me', 'get', 'NUM', 'subscribers', 'by', 'tomorrow', 'joking', 'don', 't', 'get', 'butt', 'hurt']","['help', 'get', 'NUM', 'subscribers', 'tomorrow', 'joking', 'get', 'butt', 'hurt']","['help', 'get', 'num', 'subscrib', 'tomorrow', 'joke', 'get', 'butt', 'hurt']","['help', 'get', 'num', 'subscrib', 'tomorrow', 'joke', 'get', 'butt', 'hurt']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
like this comment if ur watching this on 2015 ﻿,1,like this comment if ur watching this on 2015 ﻿,like this comment if ur watching this on NUM,"['like', 'this', 'comment', 'if', 'ur', 'watching', 'this', 'on', 'NUM']","['like', 'comment', 'ur', 'watching', 'NUM']","['like', 'comment', 'ur', 'watch', 'num']","['like', 'comment', 'ur', 'watch', 'num']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
like this comment please﻿,1,like this comment please﻿,like this comment please,"['like', 'this', 'comment', 'please']","['like', 'comment', 'please']","['like', 'comment', 'pleas']","['like', 'comment', 'pleas']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
LIKE AND SUBSCRIBE﻿,1,like and subscribe﻿,like and subscribe,"['like', 'and', 'subscribe']","['like', 'subscribe']","['like', 'subscrib']","['like', 'subscrib']"
Like this comment if you are watching on a phone﻿,1,like this comment if you are watching on a phone﻿,like this comment if you are watching on a phone,"['like', 'this', 'comment', 'if', 'you', 'are', 'watching', 'on', 'a', 'phone']","['like', 'comment', 'watching', 'phone']","['like', 'comment', 'watch', 'phone']","['like', 'comment', 'watch', 'phone']"
"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿",1,"cool video lmfaovevo! you should check out my shuffling videos on my channel when you get the chance. it&#39;s much appreciated. cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23everydayimvaping"">#everydayimvaping</a> ;-)﻿",cool video lmfaovevo you should check out my shuffling videos on my channel when you get the chance it s much appreciated cheers everydayimvaping,"['cool', 'video', 'lmfaovevo', 'you', 'should', 'check', 'out', 'my', 'shuffling', 'videos', 'on', 'my', 'channel', 'when', 'you', 'get', 'the', 'chance', 'it', 's', 'much', 'appreciated', 'cheers', 'everydayimvaping']","['cool', 'video', 'lmfaovevo', 'check', 'shuffling', 'videos', 'channel', 'get', 'chance', 'much', 'appreciated', 'cheers', 'everydayimvaping']","['cool', 'video', 'lmfaovevo', 'check', 'shuffl', 'video', 'channel', 'get', 'chanc', 'much', 'appreci', 'cheer', 'everydayimvap']","['cool', 'video', 'lmfaovevo', 'check', 'shuffl', 'video', 'channel', 'get', 'chanc', 'much', 'appreci', 'cheer', 'everydayimvap']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Check out this playlist on YouTube: I tried﻿,1,check out this playlist on youtube: i tried﻿,check out this playlist on youtube i tried,"['check', 'out', 'this', 'playlist', 'on', 'youtube', 'i', 'tried']","['check', 'playlist', 'youtube', 'tried']","['check', 'playlist', 'youtub', 'tri']","['check', 'playlist', 'youtub', 'tri']"
"subscribe to <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">SuperMarioLogan</a></span>  if you thot the robot dudes r epic and awsome﻿",1,"subscribe to <span class=""proflinkwrapper""><span class=""proflinkprefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">supermariologan</a></span>  if you thot the robot dudes r epic and awsome﻿",subscribe to supermariologan if you thot the robot dudes r epic and awsome,"['subscribe', 'to', 'supermariologan', 'if', 'you', 'thot', 'the', 'robot', 'dudes', 'r', 'epic', 'and', 'awsome']","['subscribe', 'supermariologan', 'thot', 'robot', 'dudes', 'r', 'epic', 'awsome']","['subscrib', 'supermariologan', 'thot', 'robot', 'dude', 'r', 'epic', 'awsom']","['subscrib', 'supermariologan', 'thot', 'robot', 'dude', 'r', 'epic', 'awsom']"
"if watching in 2015 subscribe to <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">SuperMarioLogan</a></span> ﻿",1,"if watching in 2015 subscribe to <span class=""proflinkwrapper""><span class=""proflinkprefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">supermariologan</a></span> ﻿",if watching in NUM subscribe to supermariologan,"['if', 'watching', 'in', 'NUM', 'subscribe', 'to', 'supermariologan']","['watching', 'NUM', 'subscribe', 'supermariologan']","['watch', 'num', 'subscrib', 'supermariologan']","['watch', 'num', 'subscrib', 'supermariologan']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Like this comment if you still jam out to this song after 4 years ﻿,1,like this comment if you still jam out to this song after 4 years ﻿,like this comment if you still jam out to this song after NUM years,"['like', 'this', 'comment', 'if', 'you', 'still', 'jam', 'out', 'to', 'this', 'song', 'after', 'NUM', 'years']","['like', 'comment', 'still', 'jam', 'song', 'NUM', 'years']","['like', 'comment', 'still', 'jam', 'song', 'num', 'year']","['like', 'comment', 'still', 'jam', 'song', 'num', 'year']"
subscribe﻿,1,subscribe﻿,subscribe,['subscribe'],['subscribe'],['subscrib'],['subscrib']
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
this video has 800+m views<br />and the channel got 3m subscribers﻿,1,this video has 800+m views<br />and the channel got 3m subscribers﻿,this video has NUM m views and the channel got 3m subscribers,"['this', 'video', 'has', 'NUM', 'm', 'views', 'and', 'the', 'channel', 'got', '3m', 'subscribers']","['video', 'NUM', 'views', 'channel', 'got', '3m', 'subscribers']","['video', 'num', 'view', 'channel', 'got', '3m', 'subscrib']","['video', 'num', 'view', 'channel', 'got', '3m', 'subscrib']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
subscribe to my chanell﻿,1,subscribe to my chanell﻿,subscribe to my chanell,"['subscribe', 'to', 'my', 'chanell']","['subscribe', 'chanell']","['subscrib', 'chanel']","['subscrib', 'chanel']"
los invito a subscribirse a mi canal ﻿,1,los invito a subscribirse a mi canal ﻿,los invito a subscribirse a mi canal,"['los', 'invito', 'a', 'subscribirse', 'a', 'mi', 'canal']","['los', 'invito', 'subscribirse', 'mi', 'canal']","['los', 'invito', 'subscribirs', 'mi', 'canal']","['los', 'invito', 'subscribirs', 'mi', 'canal']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Check out this video on YouTube:opponents mm <br /><br /><br /><br />--•[••••=====++¥¥£££<br />﻿,1,check out this video on youtube:opponents mm <br /><br /><br /><br />--•[••••=====++¥¥£££<br />﻿,check out this video on youtube pponents mm,"['check', 'out', 'this', 'video', 'on', 'youtube', 'pponents', 'mm']","['check', 'video', 'youtube', 'pponents', 'mm']","['check', 'video', 'youtub', 'pponent', 'mm']","['check', 'video', 'youtub', 'pponent', 'mm']"
Check out this video on YouTube:<br /><br />﻿,1,check out this video on youtube:<br /><br />﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
"At 500 subscribers i&#39;m sky diving help me reach my goal &lt;3<br />Trust me, i&#39;m a doctor.  :)﻿",1,"at 500 subscribers i&#39;m sky diving help me reach my goal &lt;3<br />trust me, i&#39;m a doctor.  :)﻿",at NUM subscribers i m sky diving help me reach my goal trust me i m a doctor,"['at', 'NUM', 'subscribers', 'i', 'm', 'sky', 'diving', 'help', 'me', 'reach', 'my', 'goal', 'trust', 'me', 'i', 'm', 'a', 'doctor']","['NUM', 'subscribers', 'sky', 'diving', 'help', 'reach', 'goal', 'trust', 'doctor']","['num', 'subscrib', 'sky', 'dive', 'help', 'reach', 'goal', 'trust', 'doctor']","['num', 'subscrib', 'sky', 'dive', 'help', 'reach', 'goal', 'trust', 'doctor']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
"<a href=""https://m.freemyapps.com/share/url/505b0232"">https://m.freemyapps.com/share/url/505b0232</a>﻿",1,"<a href=""https://m.freemyapps.com/share/url/505b0232"">https://m.freemyapps.com/share/url/505b0232</a>﻿",URL,['URL'],['URL'],['url'],['url']
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
"Need money ? check my channel and subscribe,soon will post how to get it )﻿",1,"need money ? check my channel and subscribe,soon will post how to get it )﻿",need money check my channel and subscribe soon will post how to get it,"['need', 'money', 'check', 'my', 'channel', 'and', 'subscribe', 'soon', 'will', 'post', 'how', 'to', 'get', 'it']","['need', 'money', 'check', 'channel', 'subscribe', 'soon', 'post', 'get']","['need', 'money', 'check', 'channel', 'subscrib', 'soon', 'post', 'get']","['need', 'money', 'check', 'channel', 'subscrib', 'soon', 'post', 'get']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Like this comment for no reason.﻿,1,like this comment for no reason.﻿,like this comment for no reason,"['like', 'this', 'comment', 'for', 'no', 'reason']","['like', 'comment', 'reason']","['like', 'comment', 'reason']","['like', 'comment', 'reason']"
"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!﻿",1,"youtube comments in a nut shell:<br /><br />.first<br />.301 club<br />.skip to <a href=""http://www.youtube.com/watch?v=kq6zr6kcpj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.advertisements<br />.like this comment for no reason<br />.christianity arguements<br />.other religious arguements<br />.console wars<br />.#pcmasterace<br />.trolls<br />.&quot;how is there 1 million views on the this video if theres online 10 people on earth/<br />.complaints<br />.pewdiepie fangirls<br />.minecraft scrubs<br />./r/montageparodies<br /><br /><br />and any other shit!!﻿",youtube comments in a nut shell first NUM club skip to NUM and close your eyes advertisements like this comment for no reason christianity arguements other religious URLnsole wars pcmasterace trolls how is there NUM million views on the this video if theres online NUM people on earth complaints pewdiepie fangirls minecraft scrubs r montageparodies and any other shit,"['youtube', 'comments', 'in', 'a', 'nut', 'shell', 'first', 'NUM', 'club', 'skip', 'to', 'NUM', 'and', 'close', 'your', 'eyes', 'advertisements', 'like', 'this', 'comment', 'for', 'no', 'reason', 'christianity', 'arguements', 'other', 'religious', 'URLnsole', 'wars', 'pcmasterace', 'trolls', 'how', 'is', 'there', 'NUM', 'million', 'views', 'on', 'the', 'this', 'video', 'if', 'theres', 'online', 'NUM', 'people', 'on', 'earth', 'complaints', 'pewdiepie', 'fangirls', 'minecraft', 'scrubs', 'r', 'montageparodies', 'and', 'any', 'other', 'shit']","['youtube', 'comments', 'nut', 'shell', 'first', 'NUM', 'club', 'skip', 'NUM', 'close', 'eyes', 'advertisements', 'like', 'comment', 'reason', 'christianity', 'arguements', 'religious', 'URLnsole', 'wars', 'pcmasterace', 'trolls', 'NUM', 'million', 'views', 'video', 'theres', 'online', 'NUM', 'people', 'earth', 'complaints', 'pewdiepie', 'fangirls', 'minecraft', 'scrubs', 'r', 'montageparodies', 'shit']","['youtub', 'comment', 'nut', 'shell', 'first', 'num', 'club', 'skip', 'num', 'close', 'eye', 'advertis', 'like', 'comment', 'reason', 'christian', 'arguement', 'religi', 'urlnsol', 'war', 'pcmasterac', 'troll', 'num', 'million', 'view', 'video', 'there', 'onlin', 'num', 'peopl', 'earth', 'complaint', 'pewdiepi', 'fangirl', 'minecraft', 'scrub', 'r', 'montageparodi', 'shit']","['youtub', 'comment', 'nut', 'shell', 'first', 'num', 'club', 'skip', 'num', 'close', 'eye', 'advertis', 'like', 'comment', 'reason', 'christian', 'arguement', 'religi', 'urlnsol', 'war', 'pcmasterac', 'troll', 'num', 'million', 'view', 'video', 'there', 'onlin', 'num', 'peopl', 'earth', 'complaint', 'pewdiepi', 'fangirl', 'minecraft', 'scrub', 'r', 'montageparodi', 'shit']"
Check out this playlist on YouTube:﻿,1,check out this playlist on youtube:﻿,check out this playlist on youtube,"['check', 'out', 'this', 'playlist', 'on', 'youtube']","['check', 'playlist', 'youtube']","['check', 'playlist', 'youtub']","['check', 'playlist', 'youtub']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
Please become my first subscriber.  Thank you.﻿,1,please become my first subscriber.  thank you.﻿,please become my first subscriber thank you,"['please', 'become', 'my', 'first', 'subscriber', 'thank', 'you']","['please', 'become', 'first', 'subscriber', 'thank']","['pleas', 'becom', 'first', 'subscrib', 'thank']","['pleas', 'becom', 'first', 'subscrib', 'thank']"
Can i get views and subscribers for no reason? 😅﻿,1,can i get views and subscribers for no reason? 😅﻿,can i get views and subscribers for no reason,"['can', 'i', 'get', 'views', 'and', 'subscribers', 'for', 'no', 'reason']","['get', 'views', 'subscribers', 'reason']","['get', 'view', 'subscrib', 'reason']","['get', 'view', 'subscrib', 'reason']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
Hello from Russia comes to the channel subscribe﻿,1,hello from russia comes to the channel subscribe﻿,hello from russia comes to the channel subscribe,"['hello', 'from', 'russia', 'comes', 'to', 'the', 'channel', 'subscribe']","['hello', 'russia', 'comes', 'channel', 'subscribe']","['hello', 'russia', 'come', 'channel', 'subscrib']","['hello', 'russia', 'come', 'channel', 'subscrib']"
"Check out my dance videos!! You won&#39;t be disappointed!! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23KingLoTheDancer"">#KingLoTheDancer</a>﻿",1,"check out my dance videos!! you won&#39;t be disappointed!! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23kinglothedancer"">#kinglothedancer</a>﻿",check out my dance videos you won t be disappointed kinglothedancer,"['check', 'out', 'my', 'dance', 'videos', 'you', 'won', 't', 'be', 'disappointed', 'kinglothedancer']","['check', 'dance', 'videos', 'disappointed', 'kinglothedancer']","['check', 'danc', 'video', 'disappoint', 'kinglothedanc']","['check', 'danc', 'video', 'disappoint', 'kinglothedanc']"
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1,men stop being naive idiots believing in love and believing that women actually respect you.  want a more fulfilling drama fee life? check out mgtow. there are many channels here on youtube that you can chose from which will give you all the information needed. (caution: not for men who enjoy being disposable providers of utility)﻿,men stop being naive idiots believing in love and believing that women actually respect you want a more fulfilling drama fee life check out mgtow there are many channels here on youtube that you can chose from which will give you all the information needed caution not for men who enjoy being disposable providers of utility,"['men', 'stop', 'being', 'naive', 'idiots', 'believing', 'in', 'love', 'and', 'believing', 'that', 'women', 'actually', 'respect', 'you', 'want', 'a', 'more', 'fulfilling', 'drama', 'fee', 'life', 'check', 'out', 'mgtow', 'there', 'are', 'many', 'channels', 'here', 'on', 'youtube', 'that', 'you', 'can', 'chose', 'from', 'which', 'will', 'give', 'you', 'all', 'the', 'information', 'needed', 'caution', 'not', 'for', 'men', 'who', 'enjoy', 'being', 'disposable', 'providers', 'of', 'utility']","['men', 'stop', 'naive', 'idiots', 'believing', 'love', 'believing', 'women', 'actually', 'respect', 'want', 'fulfilling', 'drama', 'fee', 'life', 'check', 'mgtow', 'many', 'channels', 'youtube', 'chose', 'give', 'information', 'needed', 'caution', 'men', 'enjoy', 'disposable', 'providers', 'utility']","['men', 'stop', 'naiv', 'idiot', 'believ', 'love', 'believ', 'women', 'actual', 'respect', 'want', 'fulfil', 'drama', 'fee', 'life', 'check', 'mgtow', 'mani', 'channel', 'youtub', 'chose', 'give', 'inform', 'need', 'caution', 'men', 'enjoy', 'dispos', 'provid', 'util']","['men', 'stop', 'naiv', 'idiot', 'believ', 'love', 'believ', 'women', 'actual', 'respect', 'want', 'fulfil', 'drama', 'fee', 'life', 'check', 'mgtow', 'mani', 'channel', 'youtub', 'chose', 'give', 'inform', 'need', 'caution', 'men', 'enjoy', 'dispos', 'provid', 'util']"
